date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:32:59	104/104	---M-Z	200	added ('OK')	text/plain	etag:%2283-5b02fcc4120ac-gzip%22	https://photoadking.com/robots.txt		(from )
13:32:59	132771/132771	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2007:07:14%20GMT	https://photoadking.com/	C:/scraped%20websites/photoadking/photoadking.com/index.html	(from )
13:32:59	4218/4218	---MCZ	200	added ('OK')	text/css	etag:W/%22107a-5c1070813cb9e-gzip%22	https://photoadking.com/css/slick.css?V3.5	C:/scraped%20websites/photoadking/photoadking.com/css/slick2517.css	(from https://photoadking.com/)
13:33:00	140936/140936	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:06%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.1.3/css/bootstrap.min.css	C:/scraped%20websites/photoadking/maxcdn.bootstrapcdn.com/bootstrap/4.1.3/css/bootstrap.min.css	(from https://photoadking.com/)
13:33:00	139546/139546	---MCZ	200	added ('OK')	text/css	etag:W/%22219fc-5cb4e4c7d6960-gzip%22	https://photoadking.com/css/new_style.css?v4.27	C:/scraped%20websites/photoadking/photoadking.com/css/new_styleb3f9.css	(from https://photoadking.com/)
13:33:01	8970/8970	---M--	200	added ('OK')	image/png	etag:%22230a-584fcfa595665%22	https://photoadking.com/photoadking.png?v1.5	C:/scraped%20websites/photoadking/photoadking.com/photoadking0be4.png	(from https://photoadking.com/)
13:33:01	698/698	---M--	200	added ('OK')	image/png	etag:%222ba-57d0ec5348f08%22	https://photoadking.com/images/favicon/apple-icon-57x57.png?v1.4	C:/scraped%20websites/photoadking/photoadking.com/images/favicon/apple-icon-57x577373.png	(from https://photoadking.com/)
13:33:01	706/706	---M--	200	added ('OK')	image/png	etag:%222c2-57d0ec5348f08%22	https://photoadking.com/images/favicon/apple-icon-60x60.png?v1.4	C:/scraped%20websites/photoadking/photoadking.com/images/favicon/apple-icon-60x607373.png	(from https://photoadking.com/)
13:33:02	811/811	---M--	200	added ('OK')	image/png	etag:%2232b-57d0ec5348f08%22	https://photoadking.com/images/favicon/apple-icon-72x72.png?v1.4	C:/scraped%20websites/photoadking/photoadking.com/images/favicon/apple-icon-72x727373.png	(from https://photoadking.com/)
13:33:02	881/881	---M--	200	added ('OK')	image/png	etag:%22371-57d0ec5348f08%22	https://photoadking.com/images/favicon/apple-icon-76x76.png?v1.4	C:/scraped%20websites/photoadking/photoadking.com/images/favicon/apple-icon-76x767373.png	(from https://photoadking.com/)
13:33:03	1211/1211	---M--	200	added ('OK')	image/png	etag:%224bb-57d0ec5348f08%22	https://photoadking.com/images/favicon/apple-icon-114x114.png?v1.4	C:/scraped%20websites/photoadking/photoadking.com/images/favicon/apple-icon-114x1147373.png	(from https://photoadking.com/)
13:33:03	1252/1252	---M--	200	added ('OK')	image/png	etag:%224e4-57d0ec5348f08%22	https://photoadking.com/images/favicon/apple-icon-120x120.png?v1.4	C:/scraped%20websites/photoadking/photoadking.com/images/favicon/apple-icon-120x1207373.png	(from https://photoadking.com/)
13:33:04	1508/1508	---M--	200	added ('OK')	image/png	etag:%225e4-57d0ec5348f08%22	https://photoadking.com/images/favicon/apple-icon-144x144.png?v1.4	C:/scraped%20websites/photoadking/photoadking.com/images/favicon/apple-icon-144x1447373.png	(from https://photoadking.com/)
13:33:04	1598/1598	---M--	200	added ('OK')	image/png	etag:%2263e-57d0ec5348f08%22	https://photoadking.com/images/favicon/apple-icon-152x152.png?v1.4	C:/scraped%20websites/photoadking/photoadking.com/images/favicon/apple-icon-152x1527373.png	(from https://photoadking.com/)
13:33:04	2090/2090	---M--	200	added ('OK')	image/png	etag:%2283b-57d0ec5348f08%22	https://photoadking.com/images/favicon/apple-icon-180x180.png?v1.4	C:/scraped%20websites/photoadking/photoadking.com/images/favicon/apple-icon-180x1807373.png	(from https://photoadking.com/)
13:33:04	4997/4997	---M--	200	added ('OK')	image/png	etag:%221385-57d0ec5348f08%22	https://photoadking.com/images/favicon/android-icon-512x512.png?v1.4	C:/scraped%20websites/photoadking/photoadking.com/images/favicon/android-icon-512x5127373.png	(from https://photoadking.com/)
13:33:04	1899/1899	---M--	200	added ('OK')	image/png	etag:%2276b-57d0ec5348f08%22	https://photoadking.com/images/favicon/android-icon-192x192.png?v1.4	C:/scraped%20websites/photoadking/photoadking.com/images/favicon/android-icon-192x1927373.png	(from https://photoadking.com/)
13:33:05	1009/1009	---M--	200	added ('OK')	image/png	etag:%223f1-57d0ec5348f08%22	https://photoadking.com/images/favicon/favicon-96x96.png?v1.4	C:/scraped%20websites/photoadking/photoadking.com/images/favicon/favicon-96x967373.png	(from https://photoadking.com/)
13:33:05	605/605	---M--	200	added ('OK')	image/png	etag:%2225d-57d0ec5348f08%22	https://photoadking.com/images/favicon/android-icon-48x48.png?v1.4	C:/scraped%20websites/photoadking/photoadking.com/images/favicon/android-icon-48x487373.png	(from https://photoadking.com/)
13:33:05	887/887	---M--	200	added ('OK')	image/png	etag:%2248d-57d0ec5348f08%22	https://photoadking.com/images/favicon/favicon-32x32.png?v1.4	C:/scraped%20websites/photoadking/photoadking.com/images/favicon/favicon-32x327373.png	(from https://photoadking.com/)
13:33:05	517/517	---M--	200	added ('OK')	image/png	etag:%22317-57d0ec5348f08%22	https://photoadking.com/images/favicon/favicon-16x16.png?v1.4	C:/scraped%20websites/photoadking/photoadking.com/images/favicon/favicon-16x167373.png	(from https://photoadking.com/)
13:33:06	7406/7406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%221cee-5b2a1b9afc408%22	https://photoadking.com/images/favicon/favicon.ico?v1.4	C:/scraped%20websites/photoadking/photoadking.com/images/favicon/favicon7373.ico	(from https://photoadking.com/)
13:33:06	2620/2620	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a3c-57d0ec5348f08%22	https://photoadking.com/images/favicon/safari-pinned-tab.svg	C:/scraped%20websites/photoadking/photoadking.com/images/favicon/safari-pinned-tab.svg	(from https://photoadking.com/)
13:33:06	1585/1585	---MCZ	200	added ('OK')	application/json	etag:W/%22631-57d0ec5348f08%22	https://photoadking.com/images/favicon/manifest.json?v1.4	C:/scraped%20websites/photoadking/photoadking.com/images/favicon/manifest7373.json	(from https://photoadking.com/)
13:33:07	94360/94360	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%2217098-58759129c93b2%22	https://photoadking.com/fonts/Myriadpro-Regular.otf	C:/scraped%20websites/photoadking/photoadking.com/fonts/Myriadpro-Regular.otf	(from https://photoadking.com/)
13:33:08	95684/95684	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%22175c4-58759129c93b2%22	https://photoadking.com/fonts/Myriadpro-Bold.otf	C:/scraped%20websites/photoadking/photoadking.com/fonts/Myriadpro-Bold.otf	(from https://photoadking.com/)
13:33:08	1508/1508	---M--	200	added ('OK')	image/png	etag:%225e4-57d0ec5348f08%22	https://photoadking.com/images/favicon/ms-icon-144x144.png?v1.4	C:/scraped%20websites/photoadking/photoadking.com/images/favicon/ms-icon-144x1447373.png	(from https://photoadking.com/)
13:33:08	362/362	---MCZ	200	added ('OK')	application/xml	etag:W/%2216a-57d0ec5348f08%22	https://photoadking.com/images/favicon/browserconfig.xml	C:/scraped%20websites/photoadking/photoadking.com/images/favicon/browserconfig.xml	(from https://photoadking.com/)
13:33:09	55566/55566	---MC-	200	added ('OK')	application/javascript	date:Fri,%2010%20Sep%202021%2005:33:10%20GMT	https://apis.google.com/js/platform.js	C:/scraped%20websites/photoadking/apis.google.com/js/platform.js	(from https://photoadking.com/)
13:33:09	19188/19188	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-4af4%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	C:/scraped%20websites/photoadking/cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	(from https://photoadking.com/)
13:33:09	49529/49529	---MC-	200	added ('OK')	text/javascript	date:Wed,%2011%20Aug%202021%2000:32:57%20GMT	https://www.google-analytics.com/analytics.js	C:/scraped%20websites/photoadking/www.google-analytics.com/analytics.js	(from https://photoadking.com/)
13:33:10	140666/140666	---MC-	200	added ('OK')	text/javascript	date:Fri,%2010%20Sep%202021%2005:33:11%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/scraped%20websites/photoadking/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://photoadking.com/)
13:33:10	3607/3607	---M--	200	added ('OK')	image/png	etag:%2214ff-5c0a040351449%22	https://photoadking.com/images/BG_shadow.png	C:/scraped%20websites/photoadking/photoadking.com/images/BG_shadow.png	(from https://photoadking.com/)
13:33:10	868/868	---M-Z	200	added ('OK')	image/svg+xml	etag:%22364-5c0a040351449-gzip%22	https://photoadking.com/images/chat.svg	C:/scraped%20websites/photoadking/photoadking.com/images/chat.svg	(from https://photoadking.com/)
13:33:11	652/652	---M-Z	200	added ('OK')	image/svg+xml	etag:%2228c-5c0a040351449-gzip%22	https://photoadking.com/images/rolling.svg	C:/scraped%20websites/photoadking/photoadking.com/images/rolling.svg	(from https://photoadking.com/)
13:33:11	2171/2171	---M--	200	added ('OK')	image/png	etag:%2287b-59101c29019fd%22	https://photoadking.com/images/photoadking.png	C:/scraped%20websites/photoadking/photoadking.com/images/photoadking.png	(from https://photoadking.com/)
13:33:11	2209/2209	---M--	200	added ('OK')	image/png	etag:%228a1-59101c29019fd%22	https://photoadking.com/images/photoadking-white.png	C:/scraped%20websites/photoadking/photoadking.com/images/photoadking-white.png	(from https://photoadking.com/)
13:33:12	6759/6759	---M--	200	added ('OK')	image/png	etag:%2222d3-5ca3390af2c6a%22	https://photoadking.com/images/Resources/Create_graphic_design.png	C:/scraped%20websites/photoadking/photoadking.com/images/Resources/Create_graphic_design.png	(from https://photoadking.com/)
13:33:12	344341/344341	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:38%20GMT	https://photoadking.com/templates/	C:/scraped%20websites/photoadking/photoadking.com/templates/index.html	(from https://photoadking.com/)
13:33:12	5660/5660	---M--	200	added ('OK')	image/png	etag:%221fda-5ca3390af2c6a%22	https://photoadking.com/images/Resources/Create_promo_video.png	C:/scraped%20websites/photoadking/photoadking.com/images/Resources/Create_promo_video.png	(from https://photoadking.com/)
13:33:12	154364/154364	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2007:07:14%20GMT	https://photoadking.com/create/video-templates/	C:/scraped%20websites/photoadking/photoadking.com/create/video-templates/index.html	(from https://photoadking.com/)
13:33:12	11852/11852	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2007:07:14%20GMT	https://photoadking.com/app/	C:/scraped%20websites/photoadking/photoadking.com/app/index.html	(from https://photoadking.com/)
13:33:12	4749/4749	---M--	200	added ('OK')	image/png	etag:%2219d4-5ca3390af2c6a%22	https://photoadking.com/images/Resources/Create_intro_maker.png	C:/scraped%20websites/photoadking/photoadking.com/images/Resources/Create_intro_maker.png	(from https://photoadking.com/)
13:33:13	120083/120083	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2007:07:14%20GMT	https://photoadking.com/create/online-graphic-maker/	C:/scraped%20websites/photoadking/photoadking.com/create/online-graphic-maker/index.html	(from https://photoadking.com/)
13:33:13	23377/23377	---M--	200	added ('OK')	image/png	etag:%226953-5ca3390af3c0a%22	https://photoadking.com/images/Resources/Template_Social_media.png	C:/scraped%20websites/photoadking/photoadking.com/images/Resources/Template_Social_media.png	(from https://photoadking.com/)
13:33:13	164100/164100	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2007:07:14%20GMT	https://photoadking.com/create/youtube-intro-maker/	C:/scraped%20websites/photoadking/photoadking.com/create/youtube-intro-maker/index.html	(from https://photoadking.com/)
13:33:13	28128/28128	---M--	200	added ('OK')	image/png	etag:%2282ad-5ca3390af3c0a%22	https://photoadking.com/images/Resources/Template_marketing.png	C:/scraped%20websites/photoadking/photoadking.com/images/Resources/Template_marketing.png	(from https://photoadking.com/)
13:33:13	37172/37172	---M--	200	added ('OK')	image/png	etag:%22a09a-5ca3390af3c0a%22	https://photoadking.com/images/Resources/Template_blogging.png	C:/scraped%20websites/photoadking/photoadking.com/images/Resources/Template_blogging.png	(from https://photoadking.com/)
13:33:13	320849/320849	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:40%20GMT	https://photoadking.com/templates/facebook-cover/	C:/scraped%20websites/photoadking/photoadking.com/templates/facebook-cover/index.html	(from https://photoadking.com/)
13:33:14	41141/41141	---M--	200	added ('OK')	image/png	etag:%22b935-5ca3390af3c0a%22	https://photoadking.com/images/Resources/Template_Personal.png	C:/scraped%20websites/photoadking/photoadking.com/images/Resources/Template_Personal.png	(from https://photoadking.com/)
13:33:14	33160/33160	---M--	200	added ('OK')	image/png	etag:%2296eb-5ca3390af3c0a%22	https://photoadking.com/images/Resources/Template_business.png	C:/scraped%20websites/photoadking/photoadking.com/images/Resources/Template_business.png	(from https://photoadking.com/)
13:33:14	326278/326278	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:40%20GMT	https://photoadking.com/templates/social-media-post/facebook-post/	C:/scraped%20websites/photoadking/photoadking.com/templates/social-media-post/facebook-post/index.html	(from https://photoadking.com/)
13:33:14	322024/322024	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:40%20GMT	https://photoadking.com/templates/instagram-post/	C:/scraped%20websites/photoadking/photoadking.com/templates/instagram-post/index.html	(from https://photoadking.com/)
